Opentime,Open_EOS,fr_EOS,Open_NEO,fr_NEO
2020-02-17,4.385,0.0006626,14.191,0.00057557
2020-02-18,4.36,0.0013633,15.026,0.00268944
2020-02-19,4.588,0.00061321,15.568,0.00338288
2020-02-20,3.977,0.00043626,14.028,0.00030000000000000003
2020-02-21,4.001,0.00030000000000000003,14.035,0.00030000000000000003
2020-02-22,4.055,0.00041537,14.034,0.00031107
2020-02-23,4.105,0.00030000000000000003,13.738,0.00030000000000000003
2020-02-24,4.384,0.0005986,14.325,0.00030000000000000003
2020-02-25,4.126,0.0003658,13.393,0.00036934
2020-02-26,4.081,0.00030000000000000003,12.4,0.00030000000000000003
2020-02-27,3.539,0.00030000000000000003,10.999,0.00030000000000000003
2020-02-28,3.62,0.00039485999999999997,11.505,0.00030000000000000003
2020-02-29,3.516,0.0005516399999999999,11.31,0.00030000000000000003
2020-03-01,3.515,0.00088267,11.11,0.00030000000000000003
2020-03-02,3.513,0.00056963,11.329,0.00030000000000000003
2020-03-03,3.716,0.00065743,12.106,0.00030000000000000003
2020-03-04,3.628,0.00108256,11.568,0.00037830000000000003
2020-03-05,3.597,0.00078806,11.77,0.00030000000000000003
2020-03-06,3.767,0.0009025,12.075,0.00030000000000000003
2020-03-07,3.841,0.0017647000000000001,12.4,0.00030000000000000003
2020-03-08,3.644,0.00060862,11.611,0.00034292
2020-03-09,3.045,0.00030000000000000003,10.058,0.00030000000000000003
2020-03-10,3.061,0.00030000000000000003,9.917,0.00048719999999999997
2020-03-11,3.074,0.00030000000000000003,9.868,0.00030000000000000003
2020-03-12,3.068,-3.126999999999999e-05,9.441,0.00030000000000000003
2020-03-13,1.759,-0.00285942,5.63,0.00030000000000000003
2020-03-14,2.112,0.00088622,6.219,0.00030000000000000003
2020-03-15,1.961,0.00082908,5.739,0.00023154000000000002
2020-03-16,2.047,0.00030000000000000003,5.958,0.00030000000000000003
2020-03-17,1.893,0.00030000000000000003,5.379,0.00030000000000000003
2020-03-18,1.968,0.00030000000000000003,5.62,0.00030000000000000003
2020-03-19,2.001,0.00039702,5.726,0.00030000000000000003
2020-03-20,2.28,0.00075231,6.473,0.00030000000000000003
2020-03-21,2.207,0.00030000000000000003,6.28,0.00030000000000000003
2020-03-22,2.275,0.00049797,6.235,0.00030000000000000003
2020-03-23,2.137,0.00030000000000000003,5.93,0.00030000000000000003
2020-03-24,2.288,0.00030000000000000003,6.688,0.00030000000000000003
2020-03-25,2.346,0.00030000000000000003,6.894,0.00014369
2020-03-26,2.298,0.00030000000000000003,6.934,-5.3399999999999983e-05
2020-03-27,2.324,0.00030000000000000003,7.037,0.00030000000000000003
2020-03-28,2.192,0.00030000000000000003,6.481,-0.00199947
2020-03-29,2.2,0.00030000000000000003,6.615,-0.00109699
2020-03-30,2.115,0.00030000000000000003,6.176,0.00016592
2020-03-31,2.228,0.00030000000000000003,6.582,0.00030000000000000003
2020-04-01,2.21,0.00030000000000000003,6.776,0.00030000000000000003
2020-04-02,2.253,0.00030000000000000003,6.816,0.0002044
